,Santo Antônio,Centro,Macedo,Izabel,Restinga,Canudos,Rui Ramos,Vila Nova,Área Militar,Boa Vista,Joaquim Fonseca Milano,Vera Cruz,Sepé Tiarajú,Ibirapuitã,Oswaldo Aranha,Promorar,Honório Lemes,Airton Senna,Getúlio Vargas,Nova Brasília,Centenário,Tancredo Neves,Capão do Angico,Segabinazi,Santos Dumont,Dr. Romário,Palma,Favila,Saint Pastous,N.S. Conceição Aparecida,Ulisses Guimarães,Balneário Caverá,Projetado,Cidade Alta,Assunção,Medianeira,Praça da Lagoa,Área Militar,Atlântida,Olhos D'água,Piola,Gamino,Renascer,Alberto Grande,Independência,São João,Porto dos Aguateiros,José de Abreu,Anita Garibaldi,Fronteira Oeste,Novo Lar,Lara,Vila Fenix,Inez,Kennedy,Jardim Planalto,Pedreiras,Emílio Zuneda,Canjiqueira,Cel. Enio,Saudade,Liberdade,Prado,Progresso,Vila Grande
Santo Antônio,0,620,1005,1628,2105,1668,3065,2446,3947,2005,2148,2766,3254,2649,3177,3720,4405,4839,4927,5373,3293,1880,4976,5476,4955,8471,8659,8081,7135,13424,19453,8985,3832,3527,3716,4830,4587,5560,6834,7882,6800,7095,7941,5351,2509,2851,1665,8014,7524,5716,5965,4622,10465,5003,5297,5623,5396,3575,4407,5530,4889,4630,4797,4294,3698
Centro,1197,0,1522,1688,2165,2184,2445,1826,3327,2522,2208,2826,3314,2029,2557,3100,3785,4219,4307,4753,2673,1260,4356,4856,4335,7851,8039,7461,6515,12804,18833,8365,3212,2907,3096,4210,3967,4940,6214,7262,6180,6475,7321,4731,1889,2231,1045,7394,6904,5096,5345,4002,9845,4383,4677,5003,5062,3635,3787,4910,4269,4486,4857,4354,3758
Macedo,780,1400,0,623,1100,2448,3845,3226,4727,1000,1143,1761,2249,3429,3957,4500,5185,5619,5707,6153,4073,2660,5756,6256,5735,9251,9439,8861,7915,14204,20233,8917,4612,3102,3648,4762,4162,5135,6409,7457,6375,6670,7516,4608,3289,3631,2445,7589,6781,4740,4963,4197,9722,4260,4295,4621,4391,2570,3982,5105,3887,3625,3792,3289,2693
Izabel,1403,1851,623,0,477,3071,4296,3677,5178,1100,520,1138,1626,3880,4408,4951,5636,6070,6158,6604,4524,3111,6207,6707,6186,9702,9890,9312,8366,14655,20684,8294,5063,2479,3025,4139,3539,4512,5786,6834,5752,6047,6893,3985,3456,3460,2896,6966,6158,4117,4340,3574,9099,3637,3672,3998,3768,1947,3359,4482,3264,3002,3169,2666,2070
Restinga,1880,2328,1100,477,0,3548,4773,4154,5655,650,768,1386,1874,4357,4885,5428,6113,6547,6635,7081,5001,3588,6684,7184,6663,10179,10367,9789,8843,15132,21161,8771,5540,2956,3502,4616,4016,4989,6263,7149,6229,6524,7370,4233,3933,3937,3373,7443,6406,4365,4588,4035,9347,3885,3920,4246,4016,2195,3836,4959,3512,3250,3417,2914,2318
Canudos,1281,1901,2286,2909,3386,0,1532,913,5228,3286,3429,4047,4535,3930,4458,5001,5686,6120,6208,6654,4574,3161,6257,6757,6236,9752,9940,9362,8416,14705,20734,10266,5113,4808,4997,6111,5868,6841,8115,9163,8081,8376,9222,6632,3790,4132,2946,9295,8805,6997,7246,5903,11746,6284,6578,6904,6677,4856,5688,6811,6170,5911,6078,5575,4979
Rui Ramos,2806,1913,3435,3601,4078,1525,0,619,5240,4435,4121,4739,5227,3942,4470,5013,5698,6132,6220,6666,4586,3173,6269,6769,6248,9764,9952,9374,8428,14717,20746,10278,5125,4820,5009,6123,5880,6853,8127,9175,8093,8388,9234,6644,3802,4144,2958,9307,8817,7009,7258,5915,11758,6296,6590,6916,6975,5548,5700,6823,6182,6399,6770,6267,5671
Vila Nova,2187,1294,2816,2982,3459,906,619,0,4621,3816,3502,4120,4608,3323,3851,4394,5079,5513,5601,6047,3967,2554,5650,6150,5629,9145,9333,8755,7809,14098,20127,9659,4506,4201,4390,5504,5261,6234,7508,8556,7474,7769,8615,6025,3183,3525,2339,8688,8198,6390,6639,5296,11139,5677,5971,6297,6356,4929,5081,6204,5563,5780,6151,5648,5052
Área Militar,4669,3472,4994,5160,5637,5521,5234,4615,0,5994,5680,6298,6786,4728,5256,5799,6484,6918,7006,7452,5372,4214,7055,7555,7034,10550,10738,10160,9214,15503,21532,11837,5911,6379,6568,7682,7439,8412,9686,10734,9652,9947,10793,8203,5361,5703,4517,10866,10376,8568,8817,7474,13317,7855,8149,8475,8534,7107,7259,8382,7741,7958,8329,7826,7230
Boa Vista,1780,2400,1000,1100,650,3448,4845,4226,5727,0,1000,1618,2106,4429,4957,5500,6185,6619,6707,7153,5073,3660,6756,7256,6735,10251,10439,9861,8915,15204,21233,9030,5612,3215,3761,4875,4275,5248,6522,7381,6488,6783,7629,4465,4192,4196,3445,7702,6638,4597,4820,4267,9579,4117,4152,4478,4248,2427,4095,5218,3744,3482,3649,3146,2550
